artifact,parent
clojure:1.11.1,
spec.alpha:0.3.218,clojure:1.11.1
org.specs.alpha:0.2.62,clojure:1.11.1
commons-beanutils:1.8.3,
commons-collections:3.2,
commons-io:2.4,
fastjson:1.2.22,
gson:2.8.6,
guava-24.1.1:jre,
jsr305:1.3.9,guava-24.1.1:jre
error_prone_annotations:2.1.3,guava-24.1.1:jre
j2objc-annotations:1.1,guava-24.1.1:jre
checker-compat-qual:2.0.0,guava-24.1.1:jre
animal-sniffer-annotations:1.14,guava-24.1.1:jre
h2:2.0.204,
httpclient:4.5.11,
commons-codec:1.11,httpclient:4.5.11
commons-logging:1.2,httpclient:4.5.11
httpcore:4.4.13,httpclient:4.5.11
jackson-databind:2.13.1,
jackson-annotations:2.13.1,jackson-databind:2.13.1
jackson-core:2.13.1,jackson-databind:2.13.1
json:20200518,
junit:4.12,
hamcrest-core:1.3,junit:4.12
kotlin-stdlib:0.6.22,
kotlin-runtime:0.6.22,kotlin-stdlib:0.6.22
log4j-core:2.17.0,
log4j-api:2.17.0,log4j-core:2.17.0
logback-classic:1.1.11,
slf4j-api:1.7.22,logback-classic:1.1.11
logback-core:1.3.5,
mysql-connector-java:8.0.11,
okhttp:3.1.0,
okio:1.6.0,okhttp:3.1.0
protobuf-java:3.21.5,
retrofit:2.3.0,
scala-library:2.13.0,
spring-beans:5.3.4,
spring-boot-autoconfigure:3.0.3,
spring-boot:3.0.3,spring-boot-autoconfigure:3.0.3
spring-boot-starter-web:2.6.0,
spring-boot-starter:2.6.0,spring-boot-starter-web:2.6.0
spring-boot-starter-json:2.6.0,spring-boot-starter-web:2.6.0
spring-boot-starter-tomcat:2.6.0,spring-boot-starter-web:2.6.0
spring-boot-starter-logging:2.6.0,spring-boot-starter-web:2.6.0
snakeyaml:1.29,spring-boot-starter-web:2.6.0
jakarta.annotation-api:1.3.5,spring-boot-starter-web:2.6.0
jackson-datatype-jdk8:2.13.0,spring-boot-starter-web:2.6.0
jackson-datatype-jsr310:2.13.0,spring-boot-starter-web:2.6.0
jackson-module-parameter-names:2.13.0,spring-boot-starter-web:2.6.0
tomcat-embed-core:9.0.55,spring-boot-starter-web:2.6.0
tomcat-embed-el:9.0.55,spring-boot-starter-web:2.6.0
tomcat-embed-websocket:9.0.55,spring-boot-starter-web:2.6.0
log4j-to-slf4j:2.14.1,spring-boot-starter-web:2.6.0
jul-to-slf4j:1.7.32,spring-boot-starter-web:2.6.0
spring-context:5.3.12,
spring-aop:5.3.12,spring-context:5.3.12
spring-expression:5.3.12,spring-context:5.3.12
spring-core:6.0.3,
spring-jcl:6.0.3,spring-core:6.0.3
spring-web:6.1.3,
micrometer-observation:1.12.2,spring-web:6.1.3
micrometer-commons:1.12.2,spring-web:6.1.3
testng:7.4.0.jar,
spring-core:6.0.3,
spring-jcl:6.0.3,spring-core:6.0.3
spring-web:6.1.3,
micrometer-observation:1.12.2,spring-web:6.1.3
micrometer-commons:1.12.2,spring-web:6.1.3
